typing_entropy,mouse_entropy,gaze_presence,app_focus,emotion_focus,behavior_class
0.8231388197149252,0.6703212809977649,0.9878490048334205,0.8538287136064556,0.5406875362308585,0
0.7231887539531373,0.6902886655629876,0.7706341054385879,0.726977639113503,0.5670901917675653,0
0.7348586724683122,0.7301168194910763,0.8788606640327205,0.8030364900254657,0.6726151272279906,0
0.32932077662495407,0.3477661497360711,0.4324424297152065,0.28913095106822956,0.28227265822284314,1
0.8261821737245856,0.7180971207106662,0.7712274891238499,0.8312381972366931,0.6095978399478558,0
0.6878513090775049,0.6632495124667497,0.8757271188806667,0.8626991551598607,0.8136967212149473,0
0.3744668871065432,0.37059557965702145,0.3170120113389561,0.2405410354010183,0.20035874972290119,1
0.9313689132625427,0.8304419471833121,0.8066043014687324,0.815129696562426,0.5072471208186917,0
0.014264834795728527,0.009646968926922062,0.03657754139642349,0.8450831392031884,0.0,2
0.15580220717599141,0.3248532138465475,0.2648424398432543,0.07755068131837803,0.19776447787042672,1
0.6714180163384816,0.8481953468711871,0.7554273558058955,0.85837474124674,0.7719702975098948,0
0.27674608384176735,0.25216034937135945,0.48904225928418765,0.29038530408339286,0.3976933996280676,1
0.019968979271386834,0.032442414219554745,0.01763221351191051,0.8630740383488272,0.0,2
0.995922685638895,0.7134987517191224,0.9589980204454867,0.9054951587952929,0.6880763951183789,0
0.828198586734777,0.8030614035414579,0.9765011083687132,0.7162234722761148,0.560931069871377,0
0.8737566246612,0.6791385239191621,0.8219131445570165,0.8859882460867953,0.6895559868381966,0
0.0087842263971331,0.04635800193590195,0.19090219469898112,0.8552186134039106,0.0,2
0.0069626462982811665,0.0446383969572873,0.18261782529530246,0.9056788964163146,0.0,2
0.16855936611379874,0.4256953912543794,0.2122320635205134,0.2761924812197509,0.13325711150769753,1
0.9357933309334463,0.683114485718178,0.7141423836775668,0.7256606509931316,0.6369027611602887,0
0.8789326914616649,0.6877861088891241,0.7112108182089432,0.8097429972931807,0.7572900159943549,0
0.0410887255677567,0.028333973963225796,0.06834478119008898,0.8800186323463486,0.0,2
0.9996641861632262,0.9388543881013661,0.7917532499817262,0.8952519041349185,0.8381264443959024,0
0.1775764951457278,0.23970159495213783,0.39394491537165743,0.2734762391432364,0.12964775981337723,1
0.21074200975866092,0.31237729386761065,0.27350367915608476,0.020177842164932146,0.2506893815890273,1
0.8067796811991754,0.8125534330750587,0.8953493490243265,0.9274868202339055,0.6603490667273558,0
0.030572305726740356,0.015178061346637246,0.1315381897234743,0.9048597345685927,0.0,2
0.012974051164735234,0.049372833165407054,0.18466776107469784,0.9591035827619862,0.0,2
0.005932010197863491,0.014884031194977405,0.08675613618044016,0.8409197786867528,0.0,2
0.726605823932196,0.7431910757650608,0.7403664100655861,0.9273847630950449,0.9332647943128497,0
0.8624361963113458,0.6362765178597513,0.7001866214220593,0.8940965395583237,0.9912181175068623,0
0.018044981550755814,0.017871682608868938,0.18132183773099075,0.8894589575055416,0.0,2
0.11277654823286858,0.4954656222289953,0.39687563934484615,0.2269481027430588,0.36496743946203336,1
0.9725018805332842,0.833140263500626,0.966751217986625,0.9069428191190945,0.6234922298317722,0
